"Age" "Educ" "Hours" "Sex" "TVHours" "Happy" "MEduc" "FEduc" "Marital" "Sibs" "Work" "Zodiac" "Income"
57 14 40 "Male" 3 "Pretty Happy" 12 12 "Married" 2 "Fulltime" "Pisces" 37500
33 13 50 "Female" 1 "Pretty Happy" 15 14 "Married" 2 "Fulltime" "Aries" 37500
19 9 53 "Male" 2 "Very Happy" 12 15 "Never Married" 7 "Fulltime" "Cancer" 9000
56 12 40 "Male" 1 "Pretty Happy" 10 8 "Divorced" 5 "Fulltime" "Sagittarius" 23750
27 16 36 "Male" 1 "Pretty Happy" 14 16 "Never Married" 1 "Parttime" "Capricorn" 16250
26 12 45 "Female" 2 "Very Happy" 12 12 "Never Married" 6 "Fulltime" "Gemini" 23750
31 14 45 "Female" 2 "Very Happy" 12 12 "Married" 1 "Fulltime" "Capricorn" 67500
37 16 50 "Male" 4 "Pretty Happy" 12 12 "Married" 5 "Fulltime" "Pisces" 55000
79 11 44 "Male" 2 "Pretty Happy" 0 0 "Widowed" 5 "Retired" "Libra" 21250
36 15 40 "Male" 2 "Very Happy" 12 16 "Married" 0 "Fulltime" "Leo" 55000
73 16 49 "Male" 2 "Very Happy" 8 8 "Married" 7 "Retired" "Gemini" 27500
88 16 59 "Female" 1 "Pretty Happy" 12 9 "Widowed" 0 "Housekeeping" "Virgo" 13750
52 14 40 "Male" 2 "Very Happy" 12 13 "Separated" 5 "Fulltime" "Virgo" 110000
36 16 52 "Male" 1 "Pretty Happy" 18 12 "Married" 2 "Fulltime" "Pisces" 67500
48 11 27 "Female" 5 "Very Happy" 12 8 "Married" 11 "Parttime" "Libra" 45000
43 12 40 "Female" 2 "Pretty Happy" 8 8 "Married" 4 "Fulltime" "Gemini" 45000
74 12 63 "Male" 2 "Pretty Happy" 8 8 "Never Married" 0 "Retired" "Pisces" 7500
69 12 56 "Female" 3 "Pretty Happy" 12 8 "Married" 4 "Retired" "Gemini" 11250
46 14 8 "Female" 4 "Pretty Happy" 14 12 "Widowed" 14 "Parttime" "Virgo" 27500
26 16 35 "Female" 3 "Pretty Happy" 14 14 "Never Married" 4 "Parttime" "Taurus" 18750
24 12 40 "Male" 3 "Pretty Happy" 12 12 "Never Married" 1 "Fulltime" "Aquarius" 27500
44 5 40 "Male" 8 "Not Too Happy" 0 0 "Divorced" 10 "Fulltime" "Leo" 13750
44 13 40 "Male" 3 "Pretty Happy" 16 12 "Divorced" 4 "Fulltime" "Aquarius" 9000
54 12 40 "Female" 3 "Very Happy" 8 8 "Divorced" 0 "Fulltime" "Aquarius" 9000
45 13 43 "Female" 3 "Very Happy" 12 14 "Married" 5 "Fulltime" "Sagittarius" 55000
38 13 40 "Male" 1 "Pretty Happy" 12 8 "Married" 2 "Fulltime" "Capricorn" 16250
32 12 3 "Female" 3 "Pretty Happy" 14 16 "Married" 2 "Parttime" "Aries" 23750
50 16 50 "Male" 10 "Very Happy" 12 10 "Divorced" 2 "Fulltime" "Virgo" 4734586
48 12 65 "Female" 3 "Pretty Happy" 12 12 "Divorced" 3 "Fulltime" "Aquarius" 32500
34 12 50 "Male" 4 "Pretty Happy" 12 6 "Married" 3 "Fulltime" "Aquarius" 45000
61 8 32 "Female" 3 "Very Happy" 12 12 "Married" 4 "Fulltime" "Leo" 27500
47 17 40 "Male" 2 "Pretty Happy" 13 12 "Never Married" 1 "Fulltime" "Aquarius" 67500
44 15 40 "Male" 3 "Pretty Happy" 9 9 "Separated" 8 "Fulltime" "Capricorn" 16250
32 20 45 "Male" 2 "Very Happy" 12 13 "Married" 1 "Fulltime" "Leo" 21250
38 18 70 "Female" 1 "Very Happy" 18 18 "Never Married" 2 "Fulltime" "Leo" 6582054
36 13 46 "Female" 4 "Pretty Happy" 15 12 "Married" 5 "Housekeeping" "Pisces" 45000
46 12 40 "Female" 1 "Pretty Happy" 13 16 "Never Married" 3 "Fulltime" "Sagittarius" 27500
36 17 72 "Male" 3 "Very Happy" 7 5 "Married" 2 "Fulltime" "Capricorn" 27500
68 12 54 "Female" 2 "Pretty Happy" 8 12 "Widowed" 10 "Housekeeping" "Libra" 11250
46 10 54 "Male" 2 "Pretty Happy" 8 12 "Married" 3 "Other" "Pisces" 23750
26 16 40 "Male" 2 "Very Happy" 12 14 "Never Married" 2 "Fulltime" "Pisces" 55000
28 12 40 "Female" 2 "Pretty Happy" 7 12 "Married" 4 "Fulltime" "Libra" 32500
18 11 25 "Female" 1 "Very Happy" 12 11 "Never Married" 5 "Parttime" "Capricorn" 16250
77 12 63 "Female" 2 "Pretty Happy" 8 12 "Married" 5 "Retired" "Capricorn" 45000
44 18 55 "Male" 1 "Very Happy" 12 16 "Married" 4 "Fulltime" "Libra" 110000
80 12 12 "Male" 4 "Pretty Happy" 5 6 "Widowed" 1 "Retired" "Leo" 67500
32 12 45 "Male" 4 "Very Happy" 4 0 "Married" 10 "Fulltime" "Aries" 18750
23 16 35 "Male" 5 "Very Happy" 16 18 "Never Married" 2 "Parttime" "Virgo" 11250
37 14 56 "Female" 2 "Not Too Happy" 6 9 "Separated" 3 "Fulltime" "Cancer" 23750
46 16 48 "Female" 3 "Pretty Happy" 16 12 "Separated" 3 "Fulltime" "Capricorn" 1e+05
59 14 35 "Female" 3 "Pretty Happy" 14 19 "Married" 3 "Retired" "Aquarius" 55000
31 12 48 "Female" 1 "Pretty Happy" 12 12 "Never Married" 7 "Fulltime" "Sagittarius" 23750
37 13 40 "Male" 3 "Not Too Happy" 12 13 "Married" 3 "Fulltime" "Leo" 55000
59 17 56 "Male" 1 "Pretty Happy" 12 12 "Married" 3 "Fulltime" "Cancer" 110000
31 18 18 "Female" 0 "Pretty Happy" 14 14 "Never Married" 2 "Parttime" "Pisces" 13750
31 16 35 "Female" 2 "Pretty Happy" 16 14 "Divorced" 1 "Parttime" "Sagittarius" 9000
21 12 30 "Female" 5 "Pretty Happy" 12 12 "Never Married" 2 "Fulltime" "Aquarius" 9000
84 13 49 "Male" 7 "Pretty Happy" 15 8 "Divorced" 1 "Retired" "Virgo" 11250
31 12 40 "Female" 2 "Very Happy" 11 13 "Never Married" 3 "Fulltime" "Scorpio" 32500
77 12 29 "Female" 2 "Very Happy" 3 3 "Widowed" 7 "Housekeeping" "Aquarius" 11250
45 17 57 "Male" 1 "Pretty Happy" 14 16 "Married" 3 "Fulltime" "Aries" 55000
39 16 25 "Female" 0 "Very Happy" 14 18 "Married" 4 "Parttime" "Capricorn" 67500
60 18 50 "Female" 2 "Pretty Happy" 11 12 "Married" 2 "Fulltime" "Cancer" 67500
30 16 45 "Female" 3 "Very Happy" 12 9 "Married" 3 "Fulltime" "Pisces" 67500
50 12 49 "Male" 1 "Very Happy" 12 14 "Married" 3 "Fulltime" "Pisces" 55000
86 16 49 "Female" 3 "Pretty Happy" 14 8 "Married" 4 "Retired" "Leo" 45000
47 8 52 "Male" 6 "Not Too Happy" 12 12 "Married" 7 "Other" "Capricorn" 16250
19 10 40 "Male" 1 "Very Happy" 10 11 "Married" 2 "Fulltime" "Capricorn" 21250
26 12 40 "Male" 4 "Not Too Happy" 14 14 "Never Married" 3 "Fulltime" "Taurus" 55000
41 16 45 "Male" 3 "Very Happy" 12 12 "Never Married" 4 "Fulltime" "Leo" 32500
55 12 52 "Male" 4 "Very Happy" 4 6 "Married" 13 "Fulltime" "Aquarius" 55000
38 16 48 "Male" 2 "Pretty Happy" 12 16 "Married" 1 "Fulltime" "Leo" 110000
24 12 35 "Female" 2 "Pretty Happy" 12 10 "Separated" 1 "Laid Off" "Sagittarius" 32500
56 11 40 "Female" 2 "Pretty Happy" 11 10 "Divorced" 11 "Fulltime" "Taurus" 18750
27 16 30 "Male" 1 "Pretty Happy" 18 18 "Never Married" 2 "Fulltime" "Virgo" 18750
50 18 40 "Female" 1 "Very Happy" 12 9 "Divorced" 6 "Fulltime" "Capricorn" 45000
26 18 25 "Female" 3 "Pretty Happy" 12 13 "Never Married" 1 "Parttime" "Taurus" 9000
